"Year","Dam","MedianPassage","Species","MeanMayTemp","arr_GAM_mean"
2010,"McNary",151,"Coho",11.8256586021505,99.59
2011,"McNary",145,"Coho",10.9204301075269,NA
2012,"McNary",142,"Coho",11.9017377161445,104.617333333333
2013,"McNary",141,"Coho",12.34125,128.081
2014,"McNary",139,"Coho",12.3793682795699,128.746333333333
2015,"McNary",141,"Coho",14.134460916442,90.9853333333333
2016,"McNary",134,"Coho",14.0638978494624,133.132666666667
2017,"McNary",139,"Coho",12.077859916368,140.282
2018,"McNary",131,"Coho",12.6612365591398,102.847666666667
2019,"McNary",139,"Coho",12.318561827957,116.796333333333
2020,"McNary",136,"Coho",12.3078571428571,100.21
2021,"McNary",141,"Coho",12.8317876344086,95.966
2022,"McNary",143,"Coho",11.4061290322581,91.1256666666667
2023,"McNary",139,"Coho",12.8074327956989,97.1083333333333
2024,"McNary",124,"Coho",12.8919892473118,98.578
2000,"McNary",144,"Sockeye",12.6618842530283,NA
2001,"McNary",NA,"Sockeye",13.3891790040377,NA
2002,"McNary",134,"Sockeye",11.5752016129032,NA
2003,"McNary",135,"Sockeye",11.7170325203252,NA
2004,"McNary",150,"Sockeye",13.0503091397849,NA
2005,"McNary",139,"Sockeye",12.8442607526882,NA
2006,"McNary",137,"Sockeye",12.4844623655914,NA
2007,"McNary",141,"Sockeye",12.513064516129,NA
2008,"McNary",146,"Sockeye",11.6404838709677,NA
2009,"McNary",141,"Sockeye",11.7000672043011,NA
2010,"McNary",149,"Sockeye",11.8256586021505,99.59
2011,"McNary",137,"Sockeye",10.9204301075269,NA
2012,"McNary",132,"Sockeye",11.9017377161445,104.617333333333
2013,"McNary",135,"Sockeye",12.34125,128.081
2014,"McNary",137,"Sockeye",12.3793682795699,128.746333333333
2015,"McNary",137,"Sockeye",14.134460916442,90.9853333333333
2016,"McNary",132,"Sockeye",14.0638978494624,133.132666666667
2017,"McNary",133,"Sockeye",12.077859916368,140.282
2018,"McNary",131,"Sockeye",12.6612365591398,102.847666666667
2019,"McNary",139,"Sockeye",12.318561827957,116.796333333333
2020,"McNary",138,"Sockeye",12.3078571428571,100.21
2021,"McNary",135,"Sockeye",12.8317876344086,95.966
2022,"McNary",143,"Sockeye",11.4061290322581,91.1256666666667
2023,"McNary",137,"Sockeye",12.8074327956989,97.1083333333333
2024,"McNary",142,"Sockeye",12.8919892473118,98.578
2000,"McNary",131,"Steelhead",12.6618842530283,NA
2001,"McNary",143,"Steelhead",13.3891790040377,NA
2002,"McNary",140,"Steelhead",11.5752016129032,NA
2003,"McNary",145,"Steelhead",11.7170325203252,NA
2004,"McNary",134,"Steelhead",13.0503091397849,NA
2005,"McNary",137,"Steelhead",12.8442607526882,NA
2006,"McNary",121,"Steelhead",12.4844623655914,NA
2007,"McNary",129,"Steelhead",12.513064516129,NA
2008,"McNary",134,"Steelhead",11.6404838709677,NA
2009,"McNary",127,"Steelhead",11.7000672043011,NA
2010,"McNary",131,"Steelhead",11.8256586021505,99.59
2011,"McNary",125,"Steelhead",10.9204301075269,NA
2012,"McNary",122,"Steelhead",11.9017377161445,104.617333333333
2013,"McNary",125,"Steelhead",12.34125,128.081
2014,"McNary",125,"Steelhead",12.3793682795699,128.746333333333
2015,"McNary",129,"Steelhead",14.134460916442,90.9853333333333
2016,"McNary",122,"Steelhead",14.0638978494624,133.132666666667
2017,"McNary",121,"Steelhead",12.077859916368,140.282
